Business Name,City,Rating,Reviews Count,Phone Number,Email,Website,Full Address,Google Maps Link
"Bandhu Internet Cafe, Saharsa",Saharsa,4.0,,+91 96930 08486,,Not Available,"VJP4+5GQ, Sant Nagar, Saharsa, Bihar 852201, India","https://www.google.com/maps/place/Bandhu+Internet+Cafe,+Saharsa/data=!4m7!3m6!1s0x39ee3dc739ef9c1d:0xff692c650f5fa623!8m2!3d25.8854537!4d86.6063546!16s%2Fg%2F1hc6vq5_k!19sChIJHZzvOcc97jkRI6ZfD2Usaf8?authuser=0&hl=en&rclk=1"
ANANYA CYBER CAFE Saharsa bangaon road,Saharsa,3.9,,+91 88630 14425,,Not Available,"Bangaon Rd, Ward Number 22, Refugee Chowk, Saharsa, Bihar 852201, India",https://www.google.com/maps/place/ANANYA+CYBER+CAFE+Saharsa+bangaon+road/data=!4m7!3m6!1s0x39ee3d88e0b57d31:0xc9ff6083d0f6168c!8m2!3d25.8738629!4d86.5841546!16s%2Fg%2F11ddxw4kt0!19sChIJMX214Ig97jkRjBb20INg_8k?authuser=0&hl=en&rclk=1
Vasudha Kendra Cyber Cafe,Saharsa,4.5,,+91 76313 73700,,Not Available,"Bypass Rd, Ward Number 14, Shivpuri, Saharsa, Bihar 852124, India",https://www.google.com/maps/place/Vasudha+Kendra+Cyber+Cafe/data=!4m7!3m6!1s0x39ee3d9381000001:0x23dc6c6b5b7f3fc9!8m2!3d25.8980058!4d86.5990899!16s%2Fg%2F11h9qf3nl3!19sChIJAQAAgZM97jkRyT9_W2ts3CM?authuser=0&hl=en&rclk=1
Golu Internet World,Saharsa,4.9,,+91 80512 62606,,Not Available,"KANP, opp.  , Saharsa, Bihar 852221, India",https://www.google.com/maps/place/Golu+Internet+World/data=!4m7!3m6!1s0x39ee3bb40692c3cd:0x8af039692272f458!8m2!3d25.8334116!4d86.7410425!16s%2Fg%2F11hfn4pbrf!19sChIJzcOSBrQ77jkRWPRyImk58Io?authuser=0&hl=en&rclk=1
Point zone,Saharsa,4.9,,+91 91026 00878,,Not Available,"Hatiya Gachhi, Saharsa, Bihar 852202, India",https://www.google.com/maps/place/Point+zone/data=!4m7!3m6!1s0x39ee3d526611f78f:0x1c065b0538f55380!8m2!3d25.8786865!4d86.6115133!16s%2Fg%2F11t71n3rsw!19sChIJj_cRZlI97jkRgFP1OAVbBhw?authuser=0&hl=en&rclk=1
Manas Internet Cafe,Saharsa,4.4,,+91 91232 80026,,Not Available,"Rajwanshi Nagar, Saharsa, Bihar 852201, India",https://www.google.com/maps/place/Manas+Internet+Cafe/data=!4m7!3m6!1s0x39ee3d39b24f6c6b:0x94f349d2fffd2313!8m2!3d25.8836054!4d86.5995593!16s%2Fg%2F11jzr606mv!19sChIJa2xPsjk97jkREyP9_9JJ85Q?authuser=0&hl=en&rclk=1
DIGITAL SEVA (STUDIO & INTERNET)& CSC CENTER &IDBI BANK CSP,Saharsa,4.8,,+91 70042 00919,,Not Available,"ward no, Uchhahi Nagar Kahara, 06, near bariyar, Saharsa, Bihar 852202, India",https://www.google.com/maps/place/DIGITAL+SEVA+%28STUDIO+%26+INTERNET%29%26+CSC+CENTER+%26IDBI+BANK+CSP/data=!4m7!3m6!1s0x39ee3d4c3fd467c5:0x6206f7dbfb175046!8m2!3d25.8734255!4d86.5805057!16s%2Fg%2F11jgnnxmr5!19sChIJxWfUP0w97jkRRlAX-9v3BmI?authuser=0&hl=en&rclk=1
The trust cafe,Saharsa,4.4,,+91 73250 51465,,Not Available,"ward no 34, near, kadir chowk dumrail, Hatiya Gachhi, Saharsa, Bihar 852202, India",https://www.google.com/maps/place/The+trust+cafe/data=!4m7!3m6!1s0x39ee3d56e0f1dab3:0xb53fc4e2155d4cb6!8m2!3d25.8835749!4d86.6168827!16s%2Fg%2F11l37c3ncx!19sChIJs9rx4FY97jkRtkxdFeLEP7U?authuser=0&hl=en&rclk=1
ARYAN CYBER CAFE,Saharsa,3.5,,+91 78708 43576,,http://kishorkumar.website2.me/,"Bengha Main Rd, Naya Bazar, Saharsa, Bihar 852201, India",https://www.google.com/maps/place/ARYAN+CYBER+CAFE/data=!4m7!3m6!1s0x39ee16231a407211:0x5f56a9955c19ce75!8m2!3d25.8780291!4d86.5832689!16s%2Fg%2F11c6xpl2ht!19sChIJEXJAGiMW7jkRdc4ZXJWpVl8?authuser=0&hl=en&rclk=1
NEW CLICK INTERNET,Saharsa,4.7,,Not Available,,Not Available,"At sharwandih, Batraha to Sulindabad Rd, Sulindabad, Saharsa, Bihar 852202, India",https://www.google.com/maps/place/NEW+CLICK+INTERNET/data=!4m7!3m6!1s0x39ee3dc8047fbb03:0xab7f60ec9ef67530!8m2!3d25.8478717!4d86.5904976!16s%2Fg%2F11f616hvjg!19sChIJA7t_BMg97jkRMHX2nuxgf6s?authuser=0&hl=en&rclk=1
