Business Name,City,Rating,Reviews Count,Phone Number,Email,Website,Full Address,Google Maps Link
PURNIA CYBER CAFE,Purnia,4.9,,+91 72609 83512,,http://www.purniacybercafe.in/,"RAHMAN CHOWK, Chhoti Masjid Rd, Khazanchi Haat, Line Bazar, Purnia, Bihar 854301, India",https://www.google.com/maps/place/PURNIA+CYBER+CAFE/data=!4m7!3m6!1s0x39eff97b3a9337dd:0x9ee3bd03e08029e6!8m2!3d25.7805076!4d87.4916923!16s%2Fg%2F11s7jx2zcz!19sChIJ3TeTOnv57zkR5imA4AO9454?authuser=0&hl=en&rclk=1
CYBER VALLEY,Purnia,4.7,,+91 85820 19860,,http://www.facebook.com/cybervalleycsc,"shitla mandir, CYBER VALLEY ROAD, Sukhnagar Rd, Madhubani, Purnia, Bihar 854301, India",https://www.google.com/maps/place/CYBER+VALLEY/data=!4m7!3m6!1s0x39eff98479a0be89:0xddc02dddeee6cd18!8m2!3d25.7890793!4d87.4674875!16s%2Fg%2F11g8fzv6nq!19sChIJib6geYT57zkRGM3m7t0twN0?authuser=0&hl=en&rclk=1
City Cyber Cafe Purnia,Purnia,4.6,,+91 79924 09910,,Not Available,"gokul krishna, Ashram Rd, near Congress Office, Subhash Nagar, Purnia, Bihar 854301, India",https://www.google.com/maps/place/City+Cyber+Cafe+Purnia/data=!4m7!3m6!1s0x39eff959ca4a4b85:0xd668f375c714d6b3!8m2!3d25.7643289!4d87.4737367!16s%2Fg%2F11fdwwm_hq!19sChIJhUtKyln57zkRs9YUx3XzaNY?authuser=0&hl=en&rclk=1
CEC INTERNET CAFE,Purnia,4.8,,+91 93084 19550,,Not Available,"Madhubani, Purnia, Bihar 854301, India",https://www.google.com/maps/place/CEC+INTERNET+CAFE/data=!4m7!3m6!1s0x39eff97f6f2cb8df:0xc2e8faa31bfe5b6f!8m2!3d25.7823855!4d87.4611088!16s%2Fg%2F11f4l959ql!19sChIJ37gsb3_57zkRb1v-G6P66MI?authuser=0&hl=en&rclk=1
Purnea Net Cafe,Purnia,4.3,,+91 76676 87211,,Not Available,"Chowk, near Kali Mandir, Defence Colony, Rambagh, Purnia, Bihar 854301, India",https://www.google.com/maps/place/Purnea+Net+Cafe/data=!4m7!3m6!1s0x39eff9788a42fd25:0x53fb1e4916a3b60b!8m2!3d25.7909871!4d87.4960902!16s%2Fg%2F11qf_wcmzj!19sChIJJf1Cinj57zkRC7ajFkke-1M?authuser=0&hl=en&rclk=1
GANPATI STUDIO & RAJA CYBER CAFE,Purnia,5.0,,Not Available,,Not Available,"near NAHAR, Newalal Chowk, Vivekanand Colony, Purnia, Bihar 854301, India",https://www.google.com/maps/place/GANPATI+STUDIO+%26+RAJA+CYBER+CAFE/data=!4m7!3m6!1s0x39ed59f88f95824b:0xec69dc6bf81402d!8m2!3d25.7628424!4d87.4850633!16s%2Fg%2F11fkdmq516!19sChIJS4KVj_hZ7TkRLUCBv8adxg4?authuser=0&hl=en&rclk=1
Digital Cyber World,Purnia,4.8,,+91 80517 74896,,https://www.digitalcyberworld.in/,"Bhagalpur Hotel, Shiv Mandir Rd, Ashiyana Colony, Line Bazar, Purnia, Bihar 854301, India",https://www.google.com/maps/place/Digital+Cyber+World/data=!4m7!3m6!1s0x39eff9a70f076307:0x869a8ad728a0f32d!8m2!3d25.779039!4d87.4877136!16s%2Fg%2F11rtszg7b9!19sChIJB2MHD6f57zkRLfOgKNeKmoY?authuser=0&hl=en&rclk=1
Multix Cafe,Purnia,4.3,,+91 94714 05060,,Not Available,"NH-57 Road, near Bhoothnath Mandir, Prabhat Colony, Purnia, Bihar 854301, India",https://www.google.com/maps/place/Multix+Cafe/data=!4m7!3m6!1s0x39eff9a0d50879fb:0x20b6f32b13e55d97!8m2!3d25.7863293!4d87.4845775!16s%2Fg%2F11bwp2x0xd!19sChIJ-3kI1aD57zkRl13lEyvztiA?authuser=0&hl=en&rclk=1
VisionX Cyber CSC Center,Purnia,4.7,,+91 99050 35399,,https://visonx.co.in/,"QF69+4FF, Ram Nagar, Purnia, Bihar 854303, India",https://www.google.com/maps/place/VisionX+Cyber+CSC+Center/data=!4m7!3m6!1s0x39eff980b9b09b1d:0x9d77220a712839af!8m2!3d25.7603016!4d87.4684507!16s%2Fg%2F11s11qmxlm!19sChIJHZuwuYD57zkRrzkocQoid50?authuser=0&hl=en&rclk=1
Digital Delight Cyber Cafe,Purnia,5.0,,+91 79798 95248,,Not Available,"Mohammedia Masjid Road, near Mohammdia Masjid, Hazrat Ganj, Khazanchi Haat, Madhopara, Purnia, Bihar 854301, India",https://www.google.com/maps/place/Digital+Delight+Cyber+Cafe/data=!4m7!3m6!1s0x39eff90fe64bffdd:0x4cefd791336f0c4f!8m2!3d25.7814017!4d87.4946823!16s%2Fg%2F11x9b6gszd!19sChIJ3f9L5g_57zkRTwxvM5HX70w?authuser=0&hl=en&rclk=1
