Business Name,City,Rating,Reviews Count,Phone Number,Email,Website,Full Address,Google Maps Link
GaYa nEt THE QUICK FIX CYBER CAFE,Gaya,4.7,,917631886663,,Not Available,"Police Line Rd, Gewalbigha, Gaya, Bihar 823001, India",https://www.google.com/maps/place/GaYa+nEt+THE+QUICK+FIX+CYBER+CAFE/data=!4m7!3m6!1s0x39f32b92693c9999:0xc91cf180d6261ac!8m2!3d24.782423!4d84.9989583!16s%2Fg%2F11lg2zz4nx!19sChIJmZk8aZIr8zkRrGFiDRjPkQw?authuser=0&hl=en&rclk=1
Kumar Cyber Cafe,Gaya,4.9,,+91 95344 02801,,Not Available,"Road No. 1, Ram Nagar Colony, Gaya, Bihar 823001, India",https://www.google.com/maps/place/Kumar+Cyber+Cafe/data=!4m7!3m6!1s0x39f32afa32879673:0xb6563b43f167169f!8m2!3d24.7818009!4d84.9758275!16s%2Fg%2F11hcy_bj36!19sChIJc5aHMvoq8zkRnxZn8UM7VrY?authuser=0&hl=en&rclk=1
City Cyber Cafe,Gaya,4.9,,+91 70791 17639,,http://citycyber.governmentjobaii.com/,"Mangla Gauri, Chand Chaura, Gaya, Bihar 823001, India",https://www.google.com/maps/place/City+Cyber+Cafe/data=!4m7!3m6!1s0x39f32b3eb0e84d5d:0x70e57aa4dc30cc6e!8m2!3d24.7763021!4d85.0040068!16s%2Fg%2F11x8g87d3q!19sChIJXU3osD4r8zkRbsww3KR65XA?authuser=0&hl=en&rclk=1
PANKAJ CYBER CAFE & TIN PAN CENTRE,Gaya,4.8,,+91 85079 34105,,Not Available,"MOH- DHANIYA BAGICHA DELHA GAYA PO-R S GAYA, PS, Delha, Bihar 823002, India",https://www.google.com/maps/place/PANKAJ+CYBER+CAFE+%26+TIN+PAN+CENTRE/data=!4m7!3m6!1s0x39f32bf2560b3dbf:0x5b3b9576c983c485!8m2!3d24.8055582!4d84.9863592!16s%2Fg%2F11hp1s6f6y!19sChIJvz0LVvIr8zkRhcSDyXaVO1s?authuser=0&hl=en&rclk=1
SOLUTIONS HUB,Gaya,4.8,,+91 73019 60834,,Not Available,"06, beside Main Road, Old Kareem Ganj, NEW KARIMGANJ, Kareem Ganj, Gaya, Bihar 823001, India",https://www.google.com/maps/place/SOLUTIONS+HUB/data=!4m7!3m6!1s0x39f32bf243c40807:0xe02755f53cf1f4ba!8m2!3d24.7951843!4d84.9870155!16s%2Fg%2F11lrymnf6w!19sChIJBwjEQ_Ir8zkRuvTxPPVVJ-A?authuser=0&hl=en&rclk=1
Siya Cyber Park,Gaya,4.0,,+91 90972 51596,,Not Available,"Road No. 5, New Colony, Bhaluahi, Kharkhura, Gaya, Bihar 823002, India",https://www.google.com/maps/place/Siya+Cyber+Park/data=!4m7!3m6!1s0x39f32a6f1d079fc1:0xaf7f5d2219cd2830!8m2!3d24.8049895!4d84.9946616!16s%2Fg%2F11d_7t2rj9!19sChIJwZ8HHW8q8zkRMCjNGSJdf68?authuser=0&hl=en&rclk=1
GAYA JI CYBER CAFE,Gaya,5.0,,Not Available,,https://www.instagram.com/gayaji_cybercafe?igsh=MTcyOGVjbmowZGhsdg==,"1st floor, Gaya college, Infront of Cyber Thana, Mohan Nagar, Gewalbigha, Gaya, Bihar 823001, India",https://www.google.com/maps/place/GAYA+JI+CYBER+CAFE/data=!4m7!3m6!1s0x39f32b1759d39439:0x6e07bde26a1505ae!8m2!3d24.7811155!4d84.9844887!16s%2Fg%2F11yprbdsp4!19sChIJOZTTWRcr8zkRrgUVauK9B24?authuser=0&hl=en&rclk=1
SHIVA CYBER CAFE,Gaya,5.0,,+91 88779 54622,,https://www.youtube.com/@shivaCybercafe02,"MAA SHARDA COMPLEX, Dandibag Main Rd, Ghughari Tand, Gaya, Bihar 823001, India",https://www.google.com/maps/place/SHIVA+CYBER+CAFE/data=!4m7!3m6!1s0x39f32b45a2f3fbbf:0x9d626510b93eb1b6!8m2!3d24.7706909!4d85.0071605!16s%2Fg%2F11y1c2zfmh!19sChIJv_vzokUr8zkRtrE-uRBlYp0?authuser=0&hl=en&rclk=1
Digital Seva Kendra,Gaya,5.0,,+91 80841 80991,,Not Available,"Dighi Tank, near Shri Sai Mandir, Jaiprakash Nagar, Gaya, Bihar 823001, India",https://www.google.com/maps/place/Digital+Seva+Kendra/data=!4m7!3m6!1s0x39f32b18b4182f67:0xcff38b10191824f1!8m2!3d24.7892876!4d85.0038124!16s%2Fg%2F11y0xry1_j!19sChIJZy8YtBgr8zkR8SQYGRCL888?authuser=0&hl=en&rclk=1
One Click Internet Solution,Gaya,4.5,,+91 99390 67951,,Not Available,"AN Road, Murarpur, Gaya, Bihar 823001, India",https://www.google.com/maps/place/One+Click+Internet+Solution/data=!4m7!3m6!1s0x39f32b6f4e9254d9:0xcebcf011769de675!8m2!3d24.8001569!4d85.0078973!16s%2Fg%2F11wc4d60z5!19sChIJ2VSSTm8r8zkRdeaddhHwvM4?authuser=0&hl=en&rclk=1
Maa Mangla Cyber Cafe,Gaya,5.0,,+91 72820 06192,,Not Available,"Dr K K Nirala, Vijay Bigha, Barki, Delha, Gaya, Bihar 823002, India",https://www.google.com/maps/place/Maa+Mangla+Cyber+Cafe/data=!4m7!3m6!1s0x39f32bfd3ba1cfd1:0xa9f1bfa5122cafcc!8m2!3d24.8039937!4d84.9881389!16s%2Fg%2F11wqs5dvg0!19sChIJ0c-hO_0r8zkRzK8sEqW_8ak?authuser=0&hl=en&rclk=1
Icon Cyber,Gaya,4.3,,Not Available,,Not Available,"Mukund Market, Katari Hill Rd, near Kaveri sweets, Old Kareem Ganj, Kareem Ganj, Gaya, Bihar 823001, India",https://www.google.com/maps/place/Icon+Cyber/data=!4m7!3m6!1s0x39f32a5fa4f8a583:0xc5d8a8eb171f87bf!8m2!3d24.7941172!4d84.9836658!16s%2Fg%2F11dxs42d3l!19sChIJg6X4pF8q8zkRv4cfF-uo2MU?authuser=0&hl=en&rclk=1
Pappu Cyber Cafe,Gaya,5.0,,+91 80517 13333,,Not Available,"Room No 11, Bar Association, Civil Civil Court, Enayat Colony, Gaya, Bihar 823001, India",https://www.google.com/maps/place/Pappu+Cyber+Cafe/data=!4m7!3m6!1s0x39f32b06becb3fa1:0x40ecd8fca9746250!8m2!3d24.7919226!4d85.0044977!16s%2Fg%2F11ybdx5vxy!19sChIJoT_LvgYr8zkRUGJ0qfzY7EA?authuser=0&hl=en&rclk=1
Pintu internet cyber cafe,Gaya,3.7,,+91 77392 59640,,Not Available,"QXPM+8VQ, A P Colony, Gaya, Bihar 823001, India",https://www.google.com/maps/place/Pintu+internet+cyber+cafe/data=!4m7!3m6!1s0x39f32a59ceab0e57:0x76a5eb7160f02a84!8m2!3d24.7858333!4d84.9847222!16s%2Fg%2F11byxg462j!19sChIJVw6rzlkq8zkRhCrwYHHrpXY?authuser=0&hl=en&rclk=1
Internet Zone Cyber Cafe,Gaya,3.9,,+91 84092 42091,,Not Available,"Asha Singh More, A P Colony, Gaya, Bihar 823001, India",https://www.google.com/maps/place/Internet+Zone+Cyber+Cafe/data=!4m7!3m6!1s0x39f32a59012f24d9:0x28e38c74530b42e1!8m2!3d24.7880401!4d84.9846966!16s%2Fg%2F11dymv65lz!19sChIJ2SQvAVkq8zkR4UILU3SM4yg?authuser=0&hl=en&rclk=1
Digital Internet Zone,Gaya,4.2,,+91 98525 82189,,Not Available,"Near Urdu Middle School, Road No.-2 , Old Kareemganj, Gaya, Bihar 823001, India",https://www.google.com/maps/place/Digital+Internet+Zone/data=!4m7!3m6!1s0x39f32a42bff12371:0xd5d5e194e3b3f6f7!8m2!3d24.7956668!4d84.9930922!16s%2Fg%2F11ddwzy_x9!19sChIJcSPxv0Iq8zkR9_az45Th1dU?authuser=0&hl=en&rclk=1
"Shubham Computer, Gaya",Gaya,4.2,,+91 98012 67665,,Not Available,"Rajendra Path Rd, Near Shri Hanuman Mandir, Ambedakar Nagar, Tel Bigha, Gaya, Bihar 823002, India","https://www.google.com/maps/place/Shubham+Computer,+Gaya/data=!4m7!3m6!1s0x39f32a13769c7377:0x5d101fe385607ee1!8m2!3d24.8045185!4d85.0051225!16s%2Fg%2F11cp78cd4w!19sChIJd3OcdhMq8zkR4X5gheMfEF0?authuser=0&hl=en&rclk=1"
Ansh Cyber Cafe,Gaya,5.0,,Not Available,,Not Available,"QX9X+PVG, Maranpur, Naili, Gaya, Bihar 823001, India",https://www.google.com/maps/place/Ansh+Cyber+Cafe/data=!4m7!3m6!1s0x39f32b005dbd82d9:0xecd0d58a3fcbab86!8m2!3d24.7693255!4d84.9996532!16s%2Fg%2F11mkgz6bn3!19sChIJ2YK9XQAr8zkRhqvLP4rV0Ow?authuser=0&hl=en&rclk=1
SUNNY CYBER CAFE (BABA),Gaya,4.5,,+91 99736 54209,,Not Available,"Chotki Delha, Tekari Rd, opp. HAPPY SWEETS, Gaya, Bihar 823002, India",https://www.google.com/maps/place/SUNNY+CYBER+CAFE+%28BABA%29/data=!4m7!3m6!1s0x39f32b089ff58935:0x40faccd913f2e841!8m2!3d24.8014263!4d84.9932495!16s%2Fg%2F11smtwt4gv!19sChIJNYn1nwgr8zkRQejyE9nM-kA?authuser=0&hl=en&rclk=1
Kumar Cyber Cafe,Gaya,4.3,,+91 92342 95485,,Not Available,"GAYA COLLEGE MORE BESIDES GOPAL HOTEL RAMPUR, Gaya, Bihar 823001, India",https://www.google.com/maps/place/Kumar+Cyber+Cafe/data=!4m7!3m6!1s0x39f32a56f63add25:0xdb6494c5a7686dad!8m2!3d24.7813266!4d84.9842507!16s%2Fg%2F11cnrdp003!19sChIJJd069lYq8zkRrW1op8WUZNs?authuser=0&hl=en&rclk=1
Cyber Hub,Gaya,5.0,,Not Available,,https://cyber-hub-gaya.vercel.app/,"Front of GBM College, near Civil Lines, Durga Bari, Gaya, Bihar 823001, India",https://www.google.com/maps/place/Cyber+Hub/data=!4m7!3m6!1s0x39f32bb9ad7998cf:0xd8632e1ab380226c!8m2!3d24.7911552!4d85.0009929!16s%2Fg%2F11n3c22kvw!19sChIJz5h5rbkr8zkRbCKAsxouY9g?authuser=0&hl=en&rclk=1
